dataset,src,tgt,raw,ref,trans,score,input_tokens,output_tokens,total_tokens,latency_ms
subtitle,ja,no,父さんは殺ろされたんじゃない,"Min far ble ikke drept, han...","{""c"":""Father wasn't killed""}",20,2601,11,2612,1246.05
tatoeba,ja,no,いいかげんにして。,Skjerp deg!,"{""c"":""Slutt nå.""}",68,2594,13,2607,1299.08
mtnt,en,fr,"The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","{""c"":""La notion de partage est clairement moins présente mais en supprimant progressivement, ça fonctionne très bien, n'est-ce pas ?""}",82,2609,43,2652,1370.02
subtitle,ja,no,- いや,- Nei.,"{""c"":""- Nope""}",75,2589,11,2600,1108.56
mtnt,en,fr,(Less bulky U locks exist),(Il existe des U moins encombrant),"{""c"":""(Des antivols en U moins encombrants existent)""}",82,2592,21,2613,1258.38
tatoeba,ja,no,この規則はあなたにも当てはまる。,Denne regelen gjelder deg også.,"{""c"":""This rule applies to you too.""}",20,2601,14,2615,2193.16
subtitle,ja,no,もう大丈夫,Det går bra nå.,"{""c"":""Already OK""}",20,2593,9,2602,932.85
mtnt,en,fr,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,"{""c"":""J'hésite à passer la licence VTC pour la combiner à mon travail de traduction en attendant d'être assez compétent en développement web pour une reconversion.""}",82,2617,49,2666,1245.24
tatoeba,ja,no,私は最高だ。,Jeg er best.,"{""c"":""I am the best.""}",0,2593,12,2605,978.55
mtnt,en,fr,"If in doubt, fiddle with the doc.",Dans le doute bidouille le doc.,"{""c"":""En cas de doute, bidouille le document.""}",82,2595,19,2614,1085.5
subtitle,ja,no,私のようにね 私はアルメニア人だ,Som meg Jeg er armener.,"{""c"":""Like me I am Armenian""}",18,2602,12,2614,1058.69
tatoeba,ja,no,買い物に行かなければならない。一時間で戻るよ。,Jeg må gå og handle. Jeg er tilbake innen en time.,"{""c"":""Jeg må gå og handle. Jeg er tilbake om en time.""}",79,2607,25,2632,1255.18
mtnt,en,fr,Could she be a servant of eviiiiiiiil?,Serait-ce une envoyée du Maaaaaal?,"{""c"":""Pourrait-elle être une servante du maaaaal?""}",79,2598,21,2619,1023.04
subtitle,ja,no,君の番号を聞いてない,-Kom igjen. Jeg fikk ikke nummeret ditt!,"{""c"":""Jeg har ikke hørt nummeret ditt""}",72,2596,18,2614,990.87
tatoeba,ja,no,私たちは朝食にパンケーキを作った。,Vi laget pannekaker til frokost.,"{""c"":""Vi laget pannekaker til frokost.""}",95,2603,18,2621,1187.19
subtitle,ja,no,準備は出来てる,Og jeg er klar for det.,"{""c"":""I'm ready""}",20,2593,10,2603,1071.46
mtnt,en,fr,Two out of three devices sold by Apple are still in use!,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,"{""c"":""Deux appareils Apple sur trois sont toujours en utilisation!""}",82,2598,23,2621,1268.74
subtitle,ja,no,続けろ,Stå på.,"{""c"":""Keep going""}",20,2590,9,2599,1068.9
mtnt,en,fr,"I knew the content would be epic, I didn't know how much.","Je sentais bien que le contenu pouvait être collector, je ne me doutais pas à quel point.","{""c"":""Je savais que le contenu serait épique, je ne savais pas à quel point.""}",82,2600,29,2629,1092.61
subtitle,ja,no,礼ならいいよ,Bare hyggelig.,"{""c"":""礼ならいいよ""}",0,2594,15,2609,991.27
mtnt,en,fr,Despite all this I managed to get around it thanks to the power of the brain.,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.","{""c"":""Malgré tout cela, j'ai réussi à contourner le problème grâce à la puissance du cerveau.""}",82,2602,39,2641,1033.06
subtitle,ja,no,何も！,Ingenting!,"{""c"":""Ingenting!""}",75,2589,11,2600,867.05
mtnt,en,fr,What do you live for?,Quel est votre but dans la vie ?,"{""c"":""Pour quoi tu vis?""}",70,2591,13,2604,919.07
subtitle,ja,no,全く予想しなかった 15年前の失敗と同じくらい... 君と共に働くのが 好きになった,"Jeg forutså ikke hvor vanskelig de siste 15 årene har vært for meg, hvor mye jeg ville komme til å elske å arbeide sammen med deg.","{""c"":""Helt uventet som fiaskoen for 15 år siden... Jeg er blitt glad i å jobbe sammen med deg""}",73,2623,37,2660,1474.53
mtnt,en,fr,"Aaaaaaaah.... 8 years later, I've just realized.... :o damn I had the feeling that I was missing something considering the upvotes.","Aaaaaaaah.... 8 ans après, je viens de percuter....  :o 'tain je me disais bien que je passais à côté d'un truc vu les upvotes.","{""c"":""Aaaaaaaah.... 8 ans plus tard, je viens de réaliser.... :o zut j'avais le sentiment que je manquais quelque chose vu les votes positifs.""}",78,2620,53,2673,1263.86
tatoeba,ja,no,もう一杯お茶をいただきませんか。,Vil du ha en kopp te til?,"{""c"":""Vil du ikke ha en kopp te til?""}",79,2602,18,2620,1242.39
mtnt,fr,en,"La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","{""c"":""The notion of sharing is clearly less there but by removing things gradually it works very well, doesn't it?""}",82,2616,29,2645,1120.75
subtitle,en,nl,- Maybe they're not because they're all dead!,Misschien omdat ze allemaal dood zijn!,"{""c"":""- Misschien niet omdat ze allemaal dood zijn!""}",75,2596,21,2617,1199.14
tatoeba,ja,no,急いで！,Fort deg!,"{""c"":""Hurry up!""}",20,2590,12,2602,857.35
mtnt,fr,en,(Il existe des U moins encombrant),(Less bulky U locks exist),"{""c"":""(There are less bulky U's)""}",82,2594,16,2610,985.83
subtitle,en,nl,Have you seen the rats or have you just heard scratching?,"Heeft u de ratten gezien, of heeft u ze horen krabben?","{""c"":""Heb je de ratten gezien of heb je alleen gekras gehoord?""}",84,2598,27,2625,1140.49
tatoeba,ja,no,その翻訳は原文に極めて忠実である。,Oversettelsen er meget tro mot originalen.,"{""c"":""That translation is extremely faithful to the original text.""}",20,2603,17,2620,1018.18
mtnt,fr,en,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,"{""c"":""I'm hesitant about getting my VTC license to combine with my translator work while I wait to be skilled enough in web development for a career change.""}",82,2627,39,2666,1274.52
subtitle,en,nl,"Genetic manipulation, obviously, but what kind?","Genetische manipulatie, maar hoe?","{""c"":""Genetische manipulatie, natuurlijk, maar wat voor soort?""}",85,2595,23,2618,995.83
mtnt,fr,en,Dans le doute bidouille le doc.,"If in doubt, fiddle with the doc.","{""c"":""When in doubt, fiddle with the doc.""}",78,2595,17,2612,1110.11
tatoeba,ja,no,日本人は集団で旅行するのが好きだ。,Japanere liker å reise i gruppe.,"{""c"":""Japanere liker å reise i grupper.""}",79,2604,20,2624,1385.9
subtitle,en,nl,Didn't it bother you that he was more popular?,Vond u het erg dat hij populairder was?,"{""c"":""Stoorde het je niet dat hij populairder was?""}",82,2598,20,2618,1124.75
mtnt,fr,en,Serait-ce une envoyée du Maaaaaal?,Could she be a servant of eviiiiiiiil?,"{""c"":""Could she be a messenger of Eeeeeevil?""}",82,2600,20,2620,1312.43
subtitle,en,nl,This man asked me to do terrible things.,Die man vroeg mij om vreselijke dingen te doen.,"{""c"":""Deze man vroeg me om verschrikkelijke dingen te doen.""}",88,2594,23,2617,1044.3
tatoeba,ja,no,もし何か起こったら、すぐに電話をください。,"Ring meg med en gang, hvis noe skjer.","{""c"":""Hvis noe skjer, ring meg med en gang.""}",82,2604,20,2624,1266.67
mtnt,fr,en,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,Two out of three devices sold by Apple are still in use!,"{""c"":""Two out of three devices sold by Apple are still in use!""}",79,2605,20,2625,1220.76
tatoeba,en,nl,Tom is dying.,Tom sterft.,"{""c"":""Tom gaat dood.""}",82,2589,13,2602,971.64
subtitle,en,nl,Just let me get a look at you!,Laat me je eens bekijken!,"{""c"":""Laat me je even bekijken!""}",92,2594,17,2611,1094.23
subtitle,en,nl,"Jesus, Sam.","O Jesus, Sam.","{""c"":""Jezus, Sam.""}",82,2589,13,2602,1131.63
mtnt,fr,en,"Je sentais bien que le contenu pouvait être collector, je ne me doutais pas à quel point.","I knew the content would be epic, I didn't know how much.","{""c"":""I could sense that the content could be collectible, but I had no idea how much it would be.""}",78,2611,29,2640,1217.14
tatoeba,en,nl,Mary bites her nails.,Maria bijt op haar nagels.,"{""c"":""Mary bijt op haar nagels.""}",96,2592,15,2607,1511.45
subtitle,en,nl,The tree's too heavy.,De boom is te zwaar.,"{""c"":""De boom is te zwaar.""}",95,2591,14,2605,1108.07
tatoeba,en,nl,He's allergic to cats.,Hij is allergisch voor katten.,"{""c"":""Hij is allergisch voor katten.""}",82,2592,15,2607,1125.7
mtnt,fr,en,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.",Despite all this I managed to get around it thanks to the power of the brain.,"{""c"":""Despite that, I managed to work around this problem thanks to the power of the brain.""}",82,2617,25,2642,1136.76
mtnt,fr,en,Quel est votre but dans la vie ?,What do you live for?,"{""c"":""What is your purpose in life?""}",82,2597,14,2611,1090.26
subtitle,en,nl,"Mama, stop.","Mama, stop.","{""c"":""Mama, stop.""}",75,2590,12,2602,1376.92
tatoeba,en,nl,He can't run very fast.,Hij kan niet erg snel rennen.,"{""c"":""Hij kan niet erg snel rennen.""}",75,2592,17,2609,1330.26
tatoeba,en,nl,Stop Tom.,Stop Tom.,"{""c"":""Stop Tom.""}",95,2588,10,2598,1096.7
subtitle,en,nl,"Aw, Grace is pretty upset about not being able to do this town photo.",Grace is echt van streek omdat ze dit stadsfoto projekt niet kan doen.,"{""c"":""Aw, Grace is behoorlijk boos dat ze deze stadsgegevens niet kan doen.""}",62,2603,31,2634,1302.31
