dataset,src,tgt,raw,ref,trans,score,input_tokens,output_tokens,total_tokens,latency_ms
tatoeba,ja,no,いいかげんにして。,Skjerp deg!,"{""c"":""\""Slutt nå.\""""}",68,1749,15,1764,1096.26
subtitle,ja,no,父さんは殺ろされたんじゃない,"Min far ble ikke drept, han...","{""c"":""\""Faren ble ikke drept\""""}",62,1756,17,1773,1431.48
mtnt,en,fr,"The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","{""c"":""\""La notion de partage est clairement moins présente mais en supprimant progressivement, ça marche très bien, n'est-ce pas?\""""}",89,1764,43,1807,1344.71
subtitle,ja,no,- いや,- Nei.,"{""c"":""\""- No\""""}",62,1744,11,1755,1071.8
tatoeba,ja,no,この規則はあなたにも当てはまる。,Denne regelen gjelder deg også.,"{""c"":""\""Denne regelen gjelder også for deg.\""""}",82,1756,20,1776,1200.15
mtnt,en,fr,(Less bulky U locks exist),(Il existe des U moins encombrant),"{""c"":""\""(Des antivols en U moins encombrants existent)\""""}",82,1747,23,1770,1183.89
subtitle,ja,no,もう大丈夫,Det går bra nå.,"{""c"":""\""Det er greit nå\""""}",82,1748,15,1763,1441.72
tatoeba,ja,no,私は最高だ。,Jeg er best.,"{""c"":""\""Jeg er den beste.\""""}",82,1748,15,1763,1589.47
mtnt,en,fr,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,"{""c"":""\""J'hésite à passer la licence VTC pour la combiner à mon travail de traduction en attendant d'être suffisamment compétent en Développement Web pour une reconversion.\""""}",82,1772,53,1825,1117.55
subtitle,ja,no,私のようにね 私はアルメニア人だ,Som meg Jeg er armener.,"{""c"":""\""Som meg, jeg er armenier\""""}",82,1757,16,1773,1084.89
tatoeba,ja,no,買い物に行かなければならない。一時間で戻るよ。,Jeg må gå og handle. Jeg er tilbake innen en time.,"{""c"":""\""Jeg må gå på shopping. Jeg er tilbake om en time.\""""}",79,1762,27,1789,1161.09
