dataset,src,tgt,raw,ref,trans,score,input_tokens,output_tokens,total_tokens,latency_ms
tatoeba,ja,no,いいかげんにして。,Skjerp deg!,"{""c"":""Greit, nok er nok.""}",62,1218,12,1230,536.18
subtitle,ja,no,父さんは殺ろされたんじゃない,"Min far ble ikke drept, han...","{""c"":""Faren min ble ikke drept""}",82,1219,11,1230,580.8
mtnt,en,fr,"The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","{""c"":""L’idée de partager est clairement moins présente, mais en supprimant progressivement, cela fonctionne très bien, non?""}",87,1234,28,1262,704.23
tatoeba,ja,no,この規則はあなたにも当てはまる。,Denne regelen gjelder deg også.,"{""c"":""Disse reglene gjelder også for deg.""}",73,1221,15,1236,535.86
subtitle,ja,no,- いや,- Nei.,"{""c"":""no""}",20,1214,6,1220,379.23
mtnt,en,fr,(Less bulky U locks exist),(Il existe des U moins encombrant),"{""c"":""(Des antivols en U moins volumineux existent)""}",82,1218,16,1234,564.45
tatoeba,ja,no,私は最高だ。,Jeg er best.,"{""c"":""Jeg er den beste.""}",85,1216,10,1226,451.78
subtitle,ja,no,もう大丈夫,Det går bra nå.,"{""c"":""Det er greit nå""}",82,1215,10,1225,457.68
mtnt,en,fr,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,"{""c"":""J'hésite à passer le permis VTC pour le coupler à mon travail de traduction en attendant d'acquérir suffisamment de compétences en développement web pour une reconversion.""}",82,1244,40,1284,722.26
tatoeba,ja,no,買い物に行かなければならない。一時間で戻るよ。,Jeg må gå og handle. Jeg er tilbake innen en time.,"{""c"":""Jeg må gå på shopping. Jeg er tilbake om en time.""}",74,1225,18,1243,443.85
subtitle,ja,no,私のようにね 私はアルメニア人だ,Som meg Jeg er armener.,"{""c"":""Akkurat som meg. Jeg er armensk.""}",73,1223,16,1239,487.06
mtnt,en,fr,"If in doubt, fiddle with the doc.",Dans le doute bidouille le doc.,"{""c"":""Si en cas de doute, modifiez le document.""}",65,1221,16,1237,470.8
tatoeba,ja,no,私たちは朝食にパンケーキを作った。,Vi laget pannekaker til frokost.,"{""c"":""Vi laget pannekaker til frokost.""}",95,1221,14,1235,400.67
subtitle,ja,no,君の番号を聞いてない,-Kom igjen. Jeg fikk ikke nummeret ditt!,"{""c"":""Jeg har ikke spurt om nummeret ditt""}",65,1219,13,1232,581.33
mtnt,en,fr,Could she be a servant of eviiiiiiiil?,Serait-ce une envoyée du Maaaaaal?,"{""c"":""Pourrait-elle être au service du maaaaaaaal ?\""""}",78,1223,19,1242,463.68
tatoeba,ja,no,もう一杯お茶をいただきませんか。,Vil du ha en kopp te til?,"{""c"":""Vil du ha enda en kopp te?""}",79,1220,13,1233,418.53
subtitle,ja,no,準備は出来てる,Og jeg er klar for det.,"{""c"":""Klar til å gå""}",75,1217,10,1227,899.51
mtnt,en,fr,Two out of three devices sold by Apple are still in use!,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,"{""c"":""Deux appareils sur trois vendus par Apple sont encore utilisés!""}",82,1225,17,1242,669.81
tatoeba,ja,no,急いで！,Fort deg!,"{""c"":""Skynd deg!""}",85,1216,9,1225,369.04
subtitle,ja,no,続けろ,Stå på.,"{""c"":""Fortsett""}",78,1215,7,1222,370.82
mtnt,en,fr,"I knew the content would be epic, I didn't know how much.","Je sentais bien que le contenu pouvait être collector, je ne me doutais pas à quel point.","{""c"":""Je savais que le contenu serait épique, mais pas à quel point.""}",78,1228,21,1249,454.79
subtitle,ja,no,礼ならいいよ,Bare hyggelig.,"{""c"":""Hvis det er en gave, er det greit.""}",62,1217,16,1233,461.63
tatoeba,ja,no,その翻訳は原文に極めて忠実である。,Oversettelsen er meget tro mot originalen.,"{""c"":""Den oversettelsen er ekstremt tro mot originalteksten.""}",82,1223,18,1241,446.36
subtitle,ja,no,何も！,Ingenting!,"{""c"":""Inget!""}",75,1215,8,1223,381.77
mtnt,en,fr,Despite all this I managed to get around it thanks to the power of the brain.,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.","{""c"":""Malgré tout cela, j'ai réussi à contourner le problème grâce à la puissance du cerveau.""}",82,1229,26,1255,804.09
tatoeba,ja,no,日本人は集団で旅行するのが好きだ。,Japanere liker å reise i gruppe.,"{""c"":""Japanske folk liker å reise i grupper.""}",79,1222,18,1240,931.71
mtnt,en,fr,What do you live for?,Quel est votre but dans la vie ?,"{""c"":""Qu'est-ce qui vous anime ?""}",72,1218,14,1232,505.31
subtitle,ja,no,全く予想しなかった 15年前の失敗と同じくらい... 君と共に働くのが 好きになった,"Jeg forutså ikke hvor vanskelig de siste 15 årene har vært for meg, hvor mye jeg ville komme til å elske å arbeide sammen med deg.","{""c"":""Helt uventet... like den samme fiaskoen for 15 år siden... Jeg har blitt glad i å jobbe med deg""}",67,1233,34,1267,724.4
tatoeba,ja,no,もし何か起こったら、すぐに電話をください。,"Ring meg med en gang, hvis noe skjer.","{""c"":""Hvis noe skulle skje, vennligst ring umiddelbart.""}",75,1222,19,1241,607.09
subtitle,en,nl,- Maybe they're not because they're all dead!,Misschien omdat ze allemaal dood zijn!,"{""c"":""Misschien zijn ze er niet omdat ze allemaal dood zijn!""}",79,1224,17,1241,495.16
tatoeba,en,nl,Tom is dying.,Tom sterft.,"{""c"":""Tom is stervende.""}",73,1216,11,1227,371.13
mtnt,en,fr,"Aaaaaaaah.... 8 years later, I've just realized.... :o damn I had the feeling that I was missing something considering the upvotes.","Aaaaaaaah.... 8 ans après, je viens de percuter....  :o 'tain je me disais bien que je passais à côté d'un truc vu les upvotes.","{""c"":""Aaaaaaaah.... 8 ans plus tard, je viens de réaliser.... :o zut, j'avais l'impression qu'il me manquait quelque chose vu le nombre de votes positifs.""}",78,1245,47,1292,1064.24
subtitle,en,nl,Have you seen the rats or have you just heard scratching?,"Heeft u de ratten gezien, of heeft u ze horen krabben?","{""c"":""Heb je de ratten gezien, of heb je alleen maar gekras gehoord?""}",80,1224,23,1247,636.96
